project,BugInducing,InducingDate,BugFixing,FixingDates,InducingMessage
deepchem/deepchem,5531c218e8b373f10460cadfbf780048a3128888,2017-02-22T08:14:43Z,e99ed5a04a3d5fd14d3682206fd5834c124552ea/707c2592cf6bb9c4079865faf95ae0a7279e5c39/5639ccb5e9d9e936d236938e3f71d10d2bde10fe/6f2b005da061007c2d838c4239b06d83b4b7c22d/b7980a0bff6bf322fb05c24515284634e478d85e/,2017-02-22 00:38:07-08:00/2017-11-28 10:43:45-08:00/2017-03-23 13:08:50-07:00/2018-01-27 21:49:03-08:00/2018-05-04 18:04:48-07:00/,irv&lr fix
QInfer/python-qinfer,24ba3d8fc75911043ad0214ba4df474354314785,2014-11-17T21:48:52Z,1d431dedfbfa27728581059e5602ade71de8e873/05e9459be477aae62c9c4aba45591ea9b8ea06b3/d14420f8d226846efe239eac59590062017826ce/02d2f574f68c54d1d98831877b2ea01986024808/e4cc1ca89ec17e86dc75b1378a24e057149e6d18/db773b12749ecff9c8bfb8c10c4a30aa6f8b9597/419e753ff838adc804d8e5ce10cd8b6394b5e914/10b445cd43078b35de327b8d263123bb3980b354/f87428ffc9224129dcddbcc03f7330192fa65fbb/,2016-04-03 22:00:51-04:00/2015-04-15 09:31:57+10:00/2015-07-14 20:18:34+10:00/2014-11-17 17:01:53-05:00/2014-11-17 17:27:40-05:00/2016-05-09 20:01:13+10:00/2016-04-03 22:33:04-04:00/2016-04-04 21:11:11+10:00/2016-06-08 14:00:52+10:00/,"Enabled parallelization, tskmon."
TRIQS/triqs,8d18b4fa178dfda1c3d5f4eef78af3f93e798a9f,2018-05-08T18:25:11Z,2d9b8dde5fcd0da45bf5365b09623197b9202a2e/d3731e245621ed3e6013bc25c7be6ce84c8f336c/2216e962a8192f7d383ae72e153bdb92db873d65/bbaeb5864bfc2d5a271a58265ceebfdb117fae3c/8ce34550fb0d66cbfc6ec5bf25036dbc3397ca7f/b51bb53290d5bbaede40b6c99eccfb116b65bb71/,2019-04-25 11:22:29-04:00/2020-03-09 17:35:36-04:00/2020-04-27 14:43:30-04:00/2020-04-21 14:15:24-04:00/2018-05-26 23:43:55+02:00/2019-04-09 16:39:53-04:00/,"Fix  #431 (histogram improvements) (#516)

-Add Boost serialization support + Python support
-Inclusion via statistics.hpp
-Code refactoring
-Implement mpi_broadcast(), Fix and test MPI collectives
-Changed type of _n_data_pts and _n_lost_pts to unsigned long long,
because mpi_datatype() is not defined for uint64_t.
-Remove default constructor from Histogram
-Remove outdated histograms.hpp from mc_tools
-Add more namespaces to be processed by c++2rst
-Fix atom_diag documentation
-Document histograms (C++ and Python) and add a C++ example
-Extend C++ and python histogram tests"
evaleev/libint,f1996fba91731070d3bdef14dcfad07001f8d404,2008-06-18T03:41:41Z,e62b8c19ed4aa9638ff72d9d91d2a6758cf2e832/,2010-06-09 19:18:05+00:00/,"Adapted test to recent changes.

--HG--
branch : prerelease-2-branch
extra : convert_revision : svn%3A30ab2afb-5f51-4bfe-ae8b-bcb573c66ba7/branches/prerelease-2-branch%40409"
aiidateam/aiida-quantumespresso,ccb8fcf57c6975c274a67cef31ee9531efc833d4,2018-03-28T14:52:52Z,4f076ab9997070fa447d38eb0e470d696eecd100/,2018-06-25 16:45:47+02:00/,PwRelaxWorkChain: fix small bug with Node not being unwrapped
deepchem/deepchem,934c167249d4b1f2220079b9c3c9fa1c9b4dcf99,2016-07-28T21:38:59Z,641d6bbd42ea4fb3a27aead07619eb5c8eecbe27/fc092acf17c33d73f4d7400112585b950b2421a8/0017a77551376a895531b1020b82acc9029563cd/215ea67a9cc7b5eb6ffc68fba02cbd4c2f77e616/963d201f11f0cb84b89d44e275060235b59a9d66/6f619a6b02b38c1effb97014b492627b8ab19f03/50efccc10d7dd32caf913b7da3059551dd7739d6/5be48301b35cb59c01cd318b0095c33b7a3c726c/dd3862dae7c5a200df8e3ec6c6e7b0a76d35bb0f/,2016-09-21 18:10:19-07:00/2016-08-02 14:45:39-07:00/2016-07-28 15:16:25-07:00/2016-08-01 10:31:39-07:00/2016-08-01 16:33:06-07:00/2016-07-28 15:48:44-07:00/2016-08-01 14:00:21-07:00/2016-08-02 14:21:41-07:00/2016-07-28 15:22:04-07:00/,"fixed bugs in tests, but not done"
deepchem/deepchem,74fad77ce398d8e525ffc0b05e14eb90678f2d2b,2020-03-05T01:03:59Z,49c5452eb583e8c61dde57b9e0a82c817a3fcdd1/9b5f78cc7f06144c5421c664f88c36fdc67fafe3/367160126d2c4c5b95f6b404b5fb2c6d48827ba2/b7f5dbe9c524dbe4d8859d5a535d4994117bdd24/6a4850948b34e8266ae59c1f84140b053050dc9d/5363e2abdea93e87ead0c19ef99ea4c778c7c860/57cb1a1c6528b0c41c45abe399119c79ed2e4fcc/dd5dc438e53f6de6c51798035704380269fd212e/eee39f3db9a4aa39c09fb21b8091d961962fb971/c1783911aed51af42b6e60da1bafa1b6055afd6b/715d94afd43e227430c48b22271f23fefea11332/,2020-03-06 17:31:06-08:00/2020-03-05 13:53:10-08:00/2020-03-05 18:06:34-08:00/2020-03-28 16:50:28+09:00/2020-09-13 22:55:48+09:00/2020-08-24 09:11:21-07:00/2020-09-25 14:11:46-07:00/2020-10-08 09:49:57-07:00/2020-05-31 12:53:10+09:00/2020-03-06 11:18:01-08:00/2020-09-15 12:59:40-07:00/,Shuffling ipynb
deepchem/deepchem,d65baa3b09ed3db1e11fb7f45022364d0c119efc,2016-12-27T03:53:04Z,ed567fde6470394bbbb2370992ea25f390f2f47f/707c2592cf6bb9c4079865faf95ae0a7279e5c39/bf06e8132b67244cf9f6d2d9f4d13413650fccac/,2016-12-28 19:50:11-08:00/2017-11-28 10:43:45-08:00/2016-12-27 00:15:49-08:00/,Adding support for refined/full sets
deepchem/deepchem,ec4516bd0e3df84d3243f6bd0b3395a84fb1c19c,2020-07-13T19:59:27Z,624dfb1a1263e5539d30112e2ba7344957b9b20f/231664cd74e4e17d4b26cee5e564671ee5069057/89d8cd3109c67b1cfe5e36ea9c70ccb2390505b0/2b76c72b4a67a8692ec7617c7a2d41cd8148d7e0/0dd1de30b8c8706a8b3b84b33243285f4d186c62/5151acad72171358584833c4dc9fac456e6cce5c/f43ff4c153a8c302137a2cdc672d91afc6c81471/8fe09cd6d1b6cd362c15d3963238f5abc4cac06a/7c87e8e0d78517e0c9bdd41d000a01a5f39b9d86/0c0a6a6d13913db55aa97fd5866d33e5b1ccd24b/b414182237fecef9fd2874c6f9bac900348e28af/c85740e25d8fd820d4665cd0d8c4cbfae45f3d13/,2020-07-20 16:14:29-07:00/2020-07-15 16:46:50-07:00/2020-07-16 15:30:23-07:00/2020-07-15 18:25:58-07:00/2020-07-19 19:52:39-07:00/2020-07-15 13:29:55-07:00/2020-08-11 18:17:18+09:00/2020-08-15 23:39:56+09:00/2020-08-19 00:36:40+09:00/2020-07-22 16:09:30-07:00/2020-07-21 12:07:09-04:00/2020-09-07 12:44:10+09:00/,Refactored json fields and added docs
evaleev/libint,742695f85fb9d9a40ba200ddcef04690025f867e,2015-05-21T19:47:35Z,fa04958d305da3c644057c1b04b00ffe7b8bc2b2/,2017-07-31 14:52:01-04:00/,Re-amended bd5f08b8cf3e2a37bd6591047caf8b04f514ff15 to use proper one-body operator types
