project,BugInducing,InducingDate,BugFixing,FixingDates,InducingMessage
XanaduAI/strawberryfields,7bfb6c8c76428f6f34f642d304e8dd9015132ffa,2018-04-10T13:11:57Z,c03894b151e640be3ba7314a6f754089a54edfd0/046c09fa73199b05be35cd7a73bb6e0d715bf464/d35cc22094498ed990033f8bc38df4db6680ad4e/f070d7e20108fca2616498ab35b7f5446b69f31f/0255cd6a594bf5c4af77722d12eaa2bc1dfc1ecf/d8e1d43eab97731c99fcb956c640a2dc6d09ef2a/,2018-05-04 17:45:07-04:00/2020-06-24 13:58:36+09:18/2018-05-09 13:04:22-04:00/2018-07-31 19:13:25+08:00/2018-04-11 10:31:30+08:00/2018-05-04 17:58:13-04:00/,fixes to the documentation [ci skip]
qiskit-community/qiskit-vscode,4a04d4660101cde244b0f41716715f9849a8f43e,2018-07-25T12:31:09Z,3084278178c97e9038b081ee949169ac076cf0d3/,2018-07-25 14:32:47+02:00/,Adding tests for pypiExecutor
Qiskit/qiskit,e258b73881b0bac7115ad94d4f2e16f7677cf849,2019-02-26T00:52:10Z,da75da22018d9c060f6475e1167b686da26c11b9/,2019-11-08 08:57:38+01:00/,fixed ident styles on TOC items (#145)
Qiskit/qiskit-terra,28d36380590cc381b134b655118a158193132ae9,2017-09-13T09:39:01Z,7ba182387645e655c7a443b05142b11334a5d193/5a2525e04535f911340b7a3e447bfe3b07c8b07d/8fe6af5d589189a89b2ae1e41ea01c86bcbc8229/,2017-09-15 19:06:44+02:00/2017-09-18 12:57:28+02:00/2018-11-13 23:50:58-05:00/,"Revise section weights and toctree names

Move some sections to subsections and tweak the names for the table of
contents."
Qiskit/qiskit-terra,9c8f35eb4ebda86e28c1bf272f517669f76a6b54,2018-10-09T07:35:49Z,65ba65d0f88aa586c1c6cb25b709f4709bbeb287/14d8a0716c4eb0c06c8ee3ee509ade0c7e04f530/37036f494d875fdb029b921043a0a8df4a4c2eb8/34e0988bb921f8c8ee3fe1957473357189d4123a/ad11f087dee21de3dd762647d2790b9ff7e3b63c/5e116b8e3f2a686bf2f725c0393bc34934979337/b9f33d2bea22d18e5dcf2557a7218827a201d294/d78b9f6d387eeff6eaef10190c028bdfdc58a351/9ccd387bbf4e159a36d8cb028b3c3b0204084133/95328adbabfce8826b15fd8bbde773ba0a28d804/77662d1e7ab203c7f4c775cd56297200ade105a5/2fe505541114747494e5a6ba7a57c77878cda069/22adee68e333cda2e590a747674ce494b286ef3a/bb8b8cc217bb398279f3d3e0a6a9f053961d12ec/8a5b22188031e7cfda9d4ed691e0a909605d9567/513af7f1c173c4a674b49a76d7119d85a1670c5c/f806a1f8a3ace69fbacb3a38166299685fcc2bb2/d090eca91dc1afdb68f563885c4ccf13b31de20e/,2018-12-26 16:46:30+01:00/2019-01-12 18:49:40-05:00/2019-11-08 23:49:47-05:00/2018-11-14 16:45:47-05:00/2020-05-25 01:20:37+02:00/2020-08-06 13:08:22-04:00/2018-12-01 08:17:33-05:00/2019-03-19 17:41:24+00:00/2019-04-23 15:15:51-04:00/2020-03-11 19:12:45-04:00/2019-10-24 10:41:31-04:00/2020-01-07 12:21:32-05:00/2020-09-25 13:07:13-04:00/2018-11-28 20:43:15-05:00/2018-12-16 10:32:44-05:00/2019-07-10 11:49:36-04:00/2018-11-01 21:58:19-04:00/2019-05-06 16:55:52-04:00/,"Adding DAG visualizer (#1059)

This PR introduces a graphical DAG visualizer to ease the task of debugging the transpilation procedure."
XanaduAI/strawberryfields,9d7682762d737feac058f0b6cbd227979f710c83,2019-04-04T15:28:11Z,a613d3830345c2cf495be3ac9f7d3cc3eb672eb8/95e63334dc92c7386b43538d5098bf2b750e6633/60adac3381e839a1d9b1b99373e0d59a38b40679/,2019-04-04 14:42:22-04:00/2019-04-22 18:07:13-04:00/2019-04-04 19:12:44-04:00/,reset using pure fixture
qiskit-community/qiskit-vscode,1d1cf9ca3d6ec51da023528dc8f7f63e8ab4c931,2018-05-31T13:04:27Z,417718b83c94f392926efd778f2b5b1e1cf1f551/f12b23cd8518c2eaca6b1158316c8b1137c061da/,2018-06-14 16:22:27+02:00/2018-07-11 18:14:39+02:00/,Deleted dead code
rigetti/pyquil,1a82e317d26a15bb6b5e10e49a6b202cc2cdb5f0,2017-09-25T22:20:36Z,4b19ab2cc2c32db739ecc42a1ffb99132d89d689/a47c0ace783a0540498046c093f58e23252eceaf/26ba0832c610a9a0b9948b8759ce25248913d0a3/57134d8de42a931bef48d4502e7de78e46c87550/fdfbde99cd92dcc7fc9d973a60bcb84b31addac1/d68b0a958cf21850edf6e3bcad53dada3e11f825/78bda1e742d59b7daa59177f6f091f0ea5d92caf/7210fbe56290121c44da97b9ec6eea032fcdb612/fe4a072898657151fce2307250d410213bf2a23a/6346f124b762de15bbad58b704165c61f27dc171/302a67ece61d5173c2da3d88764f91d71fdcffcb/70659d1d32a9e88cc2abcd0b32b8164d9d36ac75/da87f826dc6d164d65d31b58991d10c4d5165864/7cad7f4cbfe1e8b3fd011648728f6b960ac727fb/,2017-09-26 20:56:31-07:00/2020-01-06 18:40:26-05:00/2017-10-11 00:43:08+02:00/2018-03-31 11:33:03-07:00/2018-11-19 13:44:35-08:00/2017-10-05 10:53:15-07:00/2017-09-27 12:33:51-07:00/2019-12-23 16:52:21-05:00/2018-03-30 01:46:11+07:00/2017-09-27 14:21:03-07:00/2017-09-25 20:03:14-07:00/2020-01-07 20:32:19-08:00/2019-12-18 15:28:41-05:00/2017-09-26 10:32:05-07:00/,"Adding tests for code coverage, and fixing coefficient representation problems"
Qiskit/qiskit-terra,91d7f31796766a8ac3fb65ac6c803cd17574afeb,2020-05-28T21:01:56Z,e265409a4551551feddb4a74928386fd0d27f6df/63449c4dc49a9e0267fb15f95cd697b11ee3ee59/,2020-07-03 20:12:36-04:00/2020-06-09 12:32:35-04:00/,"Revert ""Fix infinite recursion in controlled gate definition (#4513)"" (#4516)

This reverts commit 8771e595a67e584f7ce1bac2d70db84516cd3432. The fix
did not actually work and was missed because of typo in the tests from
the reproduce case. There is still an infinite recursion present when
the test is fixed. More debug and investigation will be needed to fix
this bug for real. Until then this reverts the commit which didn't work."
rigetti/pyquil,db2b9cc4e3fa85d11b579293ec7d738247b364a3,2018-12-03T19:47:40Z,29181337de5d1ecad8dc696800f867a4c4a25a08/61109243d9278b1a194f8cfb1eaa05c7b46059b2/d60778ef0d0c8845fdb618613e12ac0a9e3d5410/08db5269fb09c083fe86d86c02f1ddb836a6920b/,2019-05-01 11:34:08-07:00/2019-06-25 13:24:55-05:00/2019-07-01 08:25:37-05:00/2019-03-04 12:59:32-08:00/,"Add information about QuantumComputer (#719)

* Add information about QuantumComputer

* Add info about QPU, QVM, and both generally"
rigetti/pyquil,e6679ebc10b743dd412b817a583603db5f3ff542,2018-11-14T00:20:51Z,1c1f47697d2fca596dfb6cd7cadc04476bf69857/7210fbe56290121c44da97b9ec6eea032fcdb612/,2019-03-01 14:30:52-08:00/2019-12-23 16:52:21-05:00/,"Add circuitMeasure and circuitResetState to grammar (#685)

This is in reference to and closes #296"
quantumlib/Cirq,6d986e63430debe016b820242b8fb7b8ecdd1862,2019-11-23T04:28:34Z,fa433c3962494d9022c4d45738a60f1a2c6614af/aff27b8bd78ac9d2c09f1902372e12f010901eb3/,2020-09-25 05:11:57-07:00/2020-08-14 11:58:03-07:00/,"Implement TrialResult JSON serialization (#2576)

* implement JSON serialization for TrialResult

* fix type

* type

* use numpy format which is more general

* convert binary arrays to np.bool to save space and add tests cases for
different dtypes

* add test

* pack bits because np.bools don't actually get saved efficiently

* type cast unnecessary for npy format

* type

* remove unnecessary cast"
quantumlib/Cirq,4fce011a514c122d4dcea112cd9471735d04bb59,2019-09-17T22:47:05Z,8481f78b468c6335b1ba3b5cfeee457246d4feda/,2019-09-18 13:40:08-07:00/,Add check_preconditions to kak_decomposition and diagonalize_real_symmetric_matrix (#2119)
Qiskit/qiskit-terra,ad5a5a758e7e0945f2025b343b468d7cd19d462b,2017-07-17T20:28:23Z,c8ff985ab29fa27dd8ac52f5151dc2d717ec6c3e/,2017-09-25 15:07:30-04:00/,"keep silent about missing local simulator executables (#95)

This would occur during instantiation of any quantum program when qasm_simulator wasn't in path."
quantumlib/Cirq,8c4bdddb94f53d65198db3f0d8fb0be2cb7609e2,2018-09-18T23:05:44Z,9f4200874f1867e511f91fe396fe55c57f1c7bdb/,2019-04-30 22:55:06-05:00/,"Fix version number in documentation (#910)

#906"
Qiskit/qiskit-terra,34358bdbb6e41ba623edab4715a6ee9859bacea7,2018-08-03T12:14:59Z,c67f33629bca473564f71995d210453ed31d2bfb/97d24d1130602752b29298e1f5d43044563a9d88/bb03035effbb75024c9c98a987a70dfb0d606563/3eb9e00599da1d29ac68c9e584f5188dfd9a95ee/3062001b369f8cd1c76d658dda449ef14d80c34e/b8bcd9a6f6fb23f737acd68b0fc5a7508ec86cd8/34bf43b968d77a4b95611ffca612f3332a3c656d/8245a11be40b73b693ca22f0d7e1340800fa6199/2fc59a4386531dd67e9bb369de5b424c489867cc/43fc166980d38fb0ca86c233be9b44483717abc5/14838089bad79d1d574fc11dc65f479501035d6d/641929f8c6523b40a633d96d46fe5b21b4614997/,2018-09-13 07:38:30+02:00/2018-08-20 14:42:23-04:00/2018-09-05 12:51:13+02:00/2018-09-04 20:11:34+02:00/2018-12-13 14:58:56+01:00/2019-01-21 14:41:42+01:00/2019-06-07 14:53:10-04:00/2018-12-28 15:09:14+01:00/2018-09-29 21:22:02-04:00/2018-12-18 00:11:40+01:00/2018-10-28 16:38:56-04:00/2018-09-24 15:08:07+02:00/,"Testing non commercial backends accepts cancellation. (#690)

* Testing non commercial backends accepts cancellation.

* Passing linter

* Marking test_cancel of ibmqjobs as slow

* Factoring out job tests-specific methods.

* Adding changelog modification

* Increasing timeout

* Distinguishing backend in case the tests are passed with IBM-Q credentials"
Qiskit/qiskit-terra,ae1921a41a481ae90b12ea7c494c19fdbf4f70fe,2019-07-08T14:10:28Z,effad1228e0d9f24ea3343e0821054b74bd4e8ea/35d47af83849560c253440cef133044e4c2f66ef/1f9fb32bfe570a38bd0c415befbe4ea45091e6c9/f62e9a4779d62fd966e526b3e790d3d98ad1c062/612104b4f9bb23fca13221bd3b4d9f67989e68bd/e9469d7822d087f57b4e3520f6a12a28aed70fcb/,2019-09-23 10:07:52-04:00/2019-08-20 11:09:20-04:00/2019-12-10 04:05:40+02:00/2019-09-06 14:28:28-04:00/2020-04-27 21:34:38-04:00/2019-08-07 10:56:19-04:00/,"Fixed multi parameter bug (#2743)

* Remove repeated parameters

* Updated changelog

* Update CHANGELOG.md

* Adding test

* Adding test of CmdDef arguments issue being fixed

* Formatting

* Formatting

* Formatting

* Formatting

* Formatting"
Blueqat/Blueqat,df05297159bb4ddd9cac3654d81f0a3a4a0d7830,2018-12-03T07:02:18Z,e91b1dab2c6c06f74b3d86d44af671076b521bc3/,2020-01-07 14:50:09+09:00/,"Remove last_result, run_history"
rigetti/pyquil,9910fd0d35b55bf0bc81d722fe964bebc336abf9,2018-02-12T21:18:12Z,0bc0008015e244b57bd7d7c0575696340da706ff/396efc03b09336e1ddfb851b5620c52bd2eaaacd/3f9d69fb2a084c9e482282a83837058d634ea3b9/58b080f2fdc3b2bcd84f166eeb5388f03d69c4b6/8d0d7e2a06d04b8df8eda21b35c03c457b10b389/a972b2f834ed6eef3c0ab33ef7f0f157922c8873/a952c3df9afaf40b076734a9a37f93d09d3b399f/,2018-02-14 12:51:19-08:00/2019-09-16 10:00:31-07:00/2018-02-20 10:06:40-08:00/2018-02-14 20:28:58-08:00/2018-02-15 15:43:43-08:00/2018-07-20 15:21:46+10:00/2018-10-03 16:37:16-07:00/,"Enable the run functionality on the QPU (#321)

* Enable the run and run_async methods for the QPU, improve docstrings

* Change int to integer_types for _run_and_measure_payload

* Add unit test coverage for the new QPU.run functionality

* Update the QPU usage docs to reflect the new run functionality

* Consolidate the source code of async and non-async QPU methods"
ProjectQ-Framework/ProjectQ,b18dc35cbf0fed7c405bb2a2ceff25ffbbcfd8cb,2018-07-23T08:12:50Z,f88a0f620f71f724a9acfab684f9cffc84e72f61/,2020-04-20 14:06:22+02:00/,Add new tutorial on how to use the IBM backend. (#246)
microsoft/Quantum,515b242f05bef594cac6c66d1f83f74366745c9d,2019-10-18T16:43:21Z,304c396feaebd4c3f0e8409061eb25fd30afaeab/5d4979dc948e55ddbdfb7a3d02fc62c5579f8ca8/148e2bc24ef01e907c485dcf1c8fbbfd7c5a53c7/b3fc88d7c63f22f4c6cec939c14e47edc8c4dc68/,2020-05-20 21:25:04+02:00/2019-12-30 16:58:37-08:00/2019-11-11 23:34:32+02:00/2020-08-20 09:41:01-07:00/,"Onboard CHSH sample to samples browser. (#241)

* Begin onboarding CHSH game into samples browser.

* A bit more work on the intro.

* Added description.

* Addressing feedback from @natke."
Qiskit/qiskit-terra,188995e11e68fb100847e6dc6dd695311158d61f,2019-07-23T17:17:31Z,7d4aaa9a35a3075f84b4caab89ce925ab27592a8/6dd5893ded62cbdf22e4e9b661037a19dd8643a6/effad1228e0d9f24ea3343e0821054b74bd4e8ea/bd86916737fda64f0de11b79a8cb867144a6127a/7d54689821b85d408b0f5a2579c9d69590f091c0/956e2503b31fed9ce0ddf2498511227b7a1e2192/a2d1d412c07d1d0276837a65d9391dd95dddb613/f11740cf0375c725880fc5feea749fbb64011f11/771d31c86f4b8046de3d09eed58091937bec5688/a859f85e56450ad537553c1343d14e279c9624bc/17dcd31f87355566d19af12fc4d2593ee7765fcc/f92827df20c62d888444877fd9105ef758390f9a/ca7f2a77dd3fbfc5584f7d19df7984199d39826e/bdbf536f6f5dff05dba76daf822195f5d00be4af/cb44c959a1e7604dc2f7b28f33a9059cd9b66fbc/5fa877769da3b99990eb5f1ae9f6d826a34f1494/64e5eef979824cc2e4c2dd789dd44b500d1ae682/,2020-07-21 17:01:17-05:00/2020-04-27 13:41:29-04:00/2019-09-23 10:07:52-04:00/2020-04-26 14:55:17-04:00/2019-11-20 16:27:30+09:00/2020-06-24 16:53:07-04:00/2019-08-13 15:52:44-04:00/2020-04-18 20:14:15+01:00/2019-07-29 15:56:17-04:00/2019-11-20 17:07:55+09:00/2020-01-05 08:17:38-06:00/2019-11-20 14:28:48+09:00/2019-10-29 21:56:12-04:00/2020-07-03 13:11:16-07:00/2020-08-28 19:44:25-07:00/2020-03-16 04:04:53-04:00/2019-12-18 19:18:22+01:00/,"Text and LaTex drawers do pi fractions now (#2808)

* text drawer does pi frac and mult

* cleanup pi check code

* add latex out option

* need two slashes

* raw strings

* fixes

* return ndigits

* fix one values

* add fractions up to 8

* lint

* more comment

* faster frac checking

* latex circuit drawer uses pi_check

* fix corner cases

* lint

* one more corner

* integrating mpl

* a small refactor

* lint

* raise error

* typo

* docstring

* docstring, again

* fix raises

* no more pimode in mpl circuit drawer

* add to changelog"
softwareQinc/staq,f53821bfb9b2df24d6da7fe40e89fc0f4de37516,2019-09-17T15:32:20Z,5dceb30591c5555ac9a07c7b803f83a2190659ba/,2020-08-28 15:22:34-04:00/,Update macOS version in travis
Qiskit/qiskit-terra,a0205ced095b9662a70671b7e9ed369a863bdca6,2017-11-13T11:21:45Z,fc779c609443fe183f4aff21bab27046aa45f701/a0592e658ab1f5090b1cc5bfa5b9ac5845fcf98c/ffb463ae19f8b7988960112f053266558529b24c/1a46f86e78f9bc1cceab272bf975db8295f9284e/c6b2acbfdae7a67a82cb352c50060696e45ffb74/3e3c0475a9ef56d8d95d509a52af74f3da637326/633f6d0d4ac93b52e1b97fecd815aa409bfb2b6c/d741ec2926e6fbbdc19a94ea08baaf8bb087a921/536ac4d46218cc573a6a91b7492618b97a8f3987/,2018-07-02 03:17:13+09:00/2018-08-24 12:45:10-04:00/2019-05-04 21:13:16-04:00/2017-12-27 01:15:50+11:00/2017-11-13 19:56:07+00:00/2017-12-08 19:01:52+09:00/2017-11-13 17:48:23+00:00/2017-11-13 19:42:19+01:00/2018-02-05 11:47:53+01:00/,"Add Wigner Function Functionality and Documentation. (#132)

* Add wigner functionw

* Adding new wigner function files

* Delete exampleCircuit.png

* Delete wigner_function_tomography.py

* Delete wigner_function_visualisation.py

* Delete wigner_functions.ipynb

* Delete blochSphere.png

* Update wigner_functions.ipynb

* files deleted and merged as requested. Jupyter Notebook will be moved to QISKIT/qiskit-tutorial

* two other image files deleted

* updated visualization.py to include Wigner fucntion code

* added author names due to Wigner function capability

* Update README.md

* alphabetically ordered Authors"
Blueqat/Blueqat,298b8fa2ea46ea59bc30f0085bc70084bc019a21,2018-09-22T00:32:49Z,7b3bb87aa48f0c728417d0da37f165c2629f940e/bd4dcb1113be00c7f48f343a8017c03851e191b6/0897ba3ecd14e705872e1f0e474c3bdda5726946/a0436be9835d3e759a6417e8bf27a2cd60dff901/,2018-10-04 20:25:41+09:00/2018-10-03 08:44:15+09:00/2018-10-04 21:15:28+09:00/2019-02-11 23:32:26+09:00/,Update README.md
rigetti/pyquil,f892763ef5dce92672e111f98cdade4f07723022,2018-05-04T22:36:56Z,a952c3df9afaf40b076734a9a37f93d09d3b399f/,2018-10-03 16:37:16-07:00/,"Allow on-the-fly specification of compilation ISA target (#423)

* Wrap to line-width 100

* Allow on-the-fly specification of compilation ISA target"
Qiskit/qiskit-terra,b32aa6bd56ad09fbc33dc0eb4c424a05b55301ff,2020-06-19T14:52:04Z,5e116b8e3f2a686bf2f725c0393bc34934979337/,2020-08-06 13:08:22-04:00/,"Remove almost-one-year-old deprecated methods (warning was inserted in #2683) (#4498)

* remove methods deprecated by #2683

* test_generate_tokens

* unused import

* release note

Co-authored-by: mergify[bot] <37929162+mergify[bot]@users.noreply.github.com>"
qiskit-community/qiskit-vscode,b4c2116fa3f95037bfade2a2a239c9fac6f7d38b,2018-07-03T11:45:28Z,e35e03d99bdc7046340181998ee53b78280eb21a/,2018-07-17 17:16:15+02:00/,Add PR 159 to the CHANGELOG
qiskit-community/qiskit-vscode,36cae605fca5bde2908ece9b35a84ef858cf2aa5,2018-06-19T15:30:41Z,c18abb9d9d304d7801ad7e65425a2cd0ccdb3a4c/a358c8445c1e3d15485974010c86026b216df122/,2018-07-10 16:48:56+02:00/2018-06-19 17:41:39+02:00/,Fixed partial compilation of expressions
softwareQinc/staq,b814f02b413fe79049b848813e6aba28e5c9ad28,2019-10-28T14:42:09Z,f4e48b00f920bab82dfab8e4042eb1749996ed23/36880f5b73991a63fab26a0840f37a8f7dbeeffe/b5534b1a11bb059ada5a8ddb9c5df7eace146765/,2019-12-10 20:21:39-05:00/2020-03-30 16:41:26-04:00/2019-10-28 13:47:35-04:00/,Reorganizing
